product_id,model,mae,wape,bias,selection_score
SOP001L12P,moving_average_7,105.91999778172135,1.8311874050086312,1.0688536076450164,1.8311874050086312
SOP001L12P,moving_average_28,88.99795548654242,1.5386323505625998,0.6073088348695951,1.5386323505625998
SOS001L12P,seasonal_naive_7,2323.4151753364354,0.4554839095150124,0.20431032058022108,0.4554839095150124
SOS001L12P,moving_average_7,3531.01741579784,0.6922230835822564,0.2043103205802209,0.6922230835822564
SOS001L12P,moving_average_28,3505.485103103741,0.6872177114351179,0.08831107125015236,0.6872177114351179
SOS002L09P,seasonal_naive_7,1478.602926587302,0.4466211011505132,0.4175589848382562,0.4466211011505132
SOS002L09P,moving_average_7,2734.2255807576666,0.825889640628808,0.4175589848382562,0.825889640628808
SOS002L09P,moving_average_28,2490.3031176057384,0.7522113615388961,0.08717396455662321,0.7522113615388961
SOS003L04P,seasonal_naive_7,316.50892857142884,0.4619183508593622,0.40771145251032714,0.4619183508593622
SOS003L04P,moving_average_7,552.1721938775511,0.8058492072799569,0.4077114525103269,0.8058492072799569
SOS003L04P,moving_average_28,534.0706632653062,0.7794315349375748,0.3088151362339238,0.7794315349375748
SOS005L04P,seasonal_naive_7,2109.8303571428573,0.48707896087513064,0.4627972601666739,0.48707896087513064
SOS005L04P,moving_average_7,3263.0625,0.7533160599333387,0.4627972601666739,0.7533160599333387
SOS005L04P,moving_average_28,3036.123724489796,0.7009245951013157,0.2882143055907688,0.7009245951013157
SOS008L02P,seasonal_naive_7,357.60714285714283,1.1624100301834224,-0.08613884374274437,1.1624100301834224
SOS008L02P,moving_average_7,297.21938775510205,0.9661182792132409,-0.08613884374274437,0.9661182792132409
SOS008L02P,moving_average_28,330.05229591836735,1.072842382831935,0.25127699094497374,1.072842382831935
SOS250M48P,seasonal_naive_7,127.78571428571423,0.6281601123595505,0.0035112359550560214,0.6281601123595505
SOS250M48P,moving_average_7,166.28571428571422,0.8174157303370786,0.0035112359550558614,0.8174157303370786
SOS250M48P,moving_average_28,168.37755102040813,0.827698635634029,-0.2043539325842694,0.827698635634029
SOS500M24P,seasonal_naive_7,736.8214285714288,0.39582893651311374,0.281786611922258,0.39582893651311374
SOS500M24P,moving_average_7,1276.6785714285722,0.6858463958864951,0.281786611922258,0.6858463958864951
SOS500M24P,moving_average_28,1282.7332094794444,0.6890990170070497,0.17628769482605816,0.6890990170070497
